timestamp,load
2019-01-01 00:00,13132.399488
2019-01-01 01:00,12947.045137
2019-01-01 02:00,12909.331215
2019-01-01 03:00,12956.730751
2019-01-01 04:00,13184.041565
2019-01-01 05:00,13601.422880000002
2019-01-01 06:00,14211.127494
2019-01-01 07:00,14841.154666
2019-01-01 08:00,15442.77646
2019-01-01 09:00,15924.279973
2019-01-01 10:00,16048.780416
2019-01-01 11:00,15895.266137
2019-01-01 12:00,15533.2022
2019-01-01 13:00,15010.515917
2019-01-01 14:00,14522.516496
2019-01-01 15:00,14324.478613999998
2019-01-01 16:00,14435.205613
2019-01-01 17:00,15139.37564
2019-01-01 18:00,15684.739188
2019-01-01 19:00,15665.44987
2019-01-01 20:00,15565.440578
2019-01-01 21:00,15234.019077
2019-01-01 22:00,14694.650978
2019-01-01 23:00,14091.495751